stock_code,description,revenue,sold_units,orders,return_value,return_units,cancelled_orders,return_unit_rate
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,26463.829999999998,9476,449,321.6,9376.0,4.0,0.497347761510715
21915,RED  HARMONICA IN BOX,26331.58,21933,661,83.75,67.0,9.0,0.0030454545454545456
22666,RECIPE BOX PANTRY YELLOW DESIGN,26240.600000000002,8276,1111,421.05,151.0,47.0,0.017918594992286697
21175,GIN + TONIC DIET METAL SIGN,25836.57,11727,759,3775.33,2030.0,7.0,0.1475612415497565
22629,SPACEBOY LUNCH BOX,25740.469999999998,14260,900,92.7,54.0,8.0,0.0037725303898281403
22961,JAM MAKING SET PRINTED,25660.98,16412,1162,425.75,331.0,12.0,0.01976945589201457
48138,DOORMAT UNION FLAG,25609.6,3762,616,97.5,12.0,7.0,0.003179650238473768
21181,PLEASE ONE PERSON METAL SIGN,25290.58,12305,845,169.70000000000002,87.0,10.0,0.007020658489347967
23173,REGENCY TEAPOT ROSES,24918.93,2770,416,436.40000000000003,52.0,13.0,0.01842664776754075
21621,VINTAGE UNION JACK BUNTING,24542.83,2789,475,238.0,28.0,4.0,0.009939652112176074
23203,JUMBO BAG VINTAGE DOILY,24522.36,11464,711,1076.4,590.0,17.0,0.04894640783142525
22111,SCOTTIE DOG HOT WATER BOTTLE,24509.84,4666,771,544.45,129.0,7.0,0.026903023983315955
22722,SET OF 6 SPICE TINS PANTRY DESIGN,24483.66,5978,834,118.0,30.0,12.0,0.004993342210386152
22326,ROUND SNACK BOXES SET OF4 WOODLAND,24438.620000000003,8560,732,120.95000000000002,41.0,17.0,0.004766887571212649
48187,DOORMAT NEW ENGLAND,24292.84,3830,600,31.8,4.0,2.0,0.0010432968179447052
22138,BAKING SET 9 PIECE RETROSPOT,24239.72,4948,934,311.1,68.0,27.0,0.013556618819776715
21731,RED TOADSTOOL LED NIGHT LIGHT,23932.98,14009,849,281.29999999999995,186.0,12.0,0.013103205353997886
48185,DOORMAT FAIRY CAKE,23888.81,3617,365,4554.9,674.0,3.0,0.15707294336984387
23344,JUMBO BAG 50'S CHRISTMAS,23815.75,10306,716,486.96000000000004,262.0,7.0,0.024791824375473125
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,23514.170000000002,4805,470,545.5500000000001,117.0,35.0,0.023770824867939862
22189,CREAM HEART CARD HOLDER,23463.47,8291,524,31.6,8.0,5.0,0.0009639715628388962
21733,RED HANGING HEART T-LIGHT HOLDER,23228.74,7882,741,152.95000000000002,57.0,13.0,0.007179745559894193
21929,JUMBO BAG PINK VINTAGE PAISLEY,23181.14,11007,865,387.07,222.0,12.0,0.019770237777184077
82482,WOODEN PICTURE FRAME WHITE FINISH,23113.260000000002,9006,1100,581.55,233.0,18.0,0.025219179564887974
20713,JUMBO BAG OWLS,23030.96,11444,657,431.43,243.0,6.0,0.020792333361855053
21623,VINTAGE UNION JACK MEMOBOARD,23010.09,3272,221,39.8,4.0,4.0,0.001221001221001221
22139,RETROSPOT TEA SET CERAMIC 11 PC,22912.81,4527,962,195.3,42.0,16.0,0.009192383453709783
22697,GREEN REGENCY TEACUP AND SAUCER,22826.3,7302,1013,393.05,143.0,42.0,0.01920752182672935
22090,PAPER BUNTING RETROSPOT,22790.960000000003,7564,798,196.4,72.0,7.0,0.009429020429544265
85066,CREAM SWEETHEART MINI CHEST,22708.95,1793,519,460.8,42.0,25.0,0.022888283378746595
20727,LUNCH BAG  BLACK SKULL.,22421.21,12240,1273,202.2,128.0,22.0,0.01034928848641656
15056N,EDWARDIAN PARASOL NATURAL,22176.49,3954,456,337.45000000000005,57.0,7.0,0.014210919970082274
84029E,RED WOOLLY HOTTIE WHITE HEART.,22144.98,4765,429,256.45,67.0,6.0,0.013865894039735099
48194,DOORMAT HEARTS,22138.57,3419,592,23.85,3.0,2.0,0.0008766803039158387
20712,JUMBO BAG WOODLAND ANIMALS,22092.42,9773,863,426.46000000000004,240.0,9.0,0.023968840507340456
23202,JUMBO BAG VINTAGE LEAF,21852.81,10962,879,442.46000000000004,242.0,6.0,0.021599428775437343
20724,RED RETROSPOT CHARLOTTE BAG,21776.79,17765,1032,170.31,223.0,16.0,0.01239715365799422
20728,LUNCH BAG CARS BLUE,21750.63,11817,1150,327.5,214.0,23.0,0.017787382594963014
22630,DOLLY GIRL LUNCH BOX,21635.14,11793,850,478.6499999999999,275.0,10.0,0.022787537288697382
21523,DOORMAT FANCY FONT HOME SWEET HOME,21601.69,3246,502,40.05,5.0,3.0,0.0015379883112888342
21843,RED RETROSPOT CAKE STAND,21365.25,2013,539,2480.5,322.0,42.0,0.13790149892933617
21212,PACK OF 72 RETROSPOT CAKE CASES,21259.100000000002,36419,1320,199.38,380.0,14.0,0.010326367564335987
21166,COOK WITH WINE METAL SIGN,20957.64,10364,723,161.1,87.0,11.0,0.008324562242847574
23206,LUNCH BAG APPLE DESIGN,20911.98,12183,1036,97.15,59.0,13.0,0.004819473942166312
22659,LUNCH BOX I LOVE LONDON,20818.7,11523,707,545.9999999999999,322.0,18.0,0.027184466019417475
22728,ALARM CLOCK BAKELIKE PINK,20702.15,5364,783,153.75,41.0,16.0,0.0075855689176688255
21479,WHITE SKULL HOT WATER BOTTLE,20594.45,3918,499,635.9300000000001,185.0,4.0,0.04508895929807458
82494L,WOODEN FRAME ANTIQUE WHITE,19640.79,6749,910,910.9499999999999,353.0,16.0,0.049704308645451986
84946,ANTIQUE SILVER T-LIGHT GLASS,19411.62,14688,689,372.96000000000004,335.0,27.0,0.022299141316647807
22501,PICNIC BASKET WICKER LARGE,19322.16,1604,445,873.1999999999999,100.0,17.0,0.05868544600938967
22328,ROUND SNACK BOXES SET OF 4 FRUITS,19130.37,6847,581,1691.4999999999998,658.0,16.0,0.08767488341105929
22467,GUMBALL COAT RACK,18890.47,7962,681,337.5,147.0,30.0,0.01812800591934887
22969,HOMEMADE JAM SCENTED CANDLES,18788.55,12532,646,185.79999999999998,140.0,8.0,0.011047979797979798
22383,LUNCH BAG SUKI DESIGN,18750.579999999998,10332,1084,223.8,148.0,21.0,0.014122137404580152
15036,ASSORTED COLOURS SILK FAN,18569.84,23826,518,505.68,744.0,4.0,0.03028083028083028
20726,LUNCH BAG WOODLAND,18323.38,9933,1017,134.9,82.0,19.0,0.008187718422366451
22382,LUNCH BAG SPACEBOY DESIGN,18092.36,10464,1157,242.35,159.0,13.0,0.014967523298503248
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,18069.280000000002,10253,262,6591.420000000001,3150.0,3.0,0.23502200999776168
22835,HOT WATER BOTTLE I AM SO POORLY,18055.11,3474,657,1679.6999999999998,394.0,6.0,0.10186142709410548
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,17927.45,16244,305,90.0,72.0,2.0,0.004412846285854376
22865,HAND WARMER OWL DESIGN,17910.030000000002,8498,654,258.05,123.0,11.0,0.014267486370490662
21485,RETROSPOT HEART HOT WATER BOTTLE,17708.53,3533,623,99.00000000000001,20.0,8.0,0.005629045876723895
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,17655.8,6084,879,300.85,107.0,34.0,0.017283152963979972
22698,PINK REGENCY TEACUP AND SAUCER,17551.760000000002,5824,765,387.50000000000006,138.0,35.0,0.02314659510231466
22384,LUNCH BAG PINK POLKADOT,17435.19,10515,1090,236.2,152.0,20.0,0.014249554701415581
23203,JUMBO BAG DOILEY PATTERNS,17272.85,8895,514,1076.4,590.0,17.0,0.06220347917764892
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,17245.93,8414,662,484.53000000000003,268.0,10.0,0.030868463487675652
22077,6 RIBBONS RUSTIC CHARM,17205.37,9183,955,56.099999999999994,34.0,6.0,0.0036888358468048174
22385,JUMBO BAG SPACEBOY DESIGN,17081.86,8671,686,215.14,118.0,4.0,0.013425873250654226
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,17073.65,5737,264,3443.62,1228.0,31.0,0.17631012203876525
22197,SMALL POPCORN HOLDER,17055.149999999998,20160,589,366.55,471.0,50.0,0.022829722262614514
21754,HOME BUILDING BLOCK WORD,17049.920000000002,2780,777,118.60000000000001,20.0,10.0,0.007142857142857143
82583,HOT BATHS METAL SIGN,17047.06,7306,609,133.46,72.0,8.0,0.009758742206560044
22492,MINI PAINT SET VINTAGE,16937.82,26633,380,127.4,196.0,10.0,0.007305527600730553
20719,WOODLAND CHARLOTTE BAG,16759.75,13308,833,87.39999999999999,112.0,8.0,0.00834575260804769
22624,IVORY KITCHEN SCALES,16528.31,1901,711,168.3,21.0,9.0,0.010926118626430802
22993,SET OF 4 PANTRY JELLY MOULDS,16507.23,12672,1073,85.0,68.0,9.0,0.005337519623233909
84978,HANGING HEART JAR T-LIGHT HOLDER,16477.53,12512,728,206.59,175.0,30.0,0.013793647040277449
84078A,SET/4 WHITE RETRO STORAGE CUBES,16363.300000000001,415,155,1248.25,35.0,8.0,0.07777777777777778
23301,GARDENERS KNEELING PAD KEEP CALM,16357.05,8825,913,168.89999999999998,114.0,11.0,0.012753104374091061
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,16164.04,3323,459,58.0,14.0,4.0,0.004195385076415942
85152,HAND OVER THE CHOCOLATE   SIGN,15983.330000000002,8272,677,135.22,74.0,3.0,0.008866522885214475
23313,VINTAGE CHRISTMAS BUNTING,15833.310000000001,2997,401,64.35,13.0,2.0,0.004318936877076412
15056BL,EDWARDIAN PARASOL BLACK,15828.84,2844,321,652.5,130.0,5.0,0.04371217215870881
22379,RECYCLING BAG RETROSPOT,15636.99,6910,748,122.65,64.0,5.0,0.009176942930886148
82483,WOOD 2 DRAWER CABINET WHITE FINISH,15240.07,2403,543,1240.7,206.0,40.0,0.07895745496358758
22084,PAPER CHAIN KIT EMPIRE,15122.970000000001,5189,436,120.95,41.0,2.0,0.007839388145315488
22900,SET 2 TEA TOWELS I LOVE LONDON,14975.93,4919,533,552.5999999999999,216.0,11.0,0.042064264849074974
84997D,CHILDRENS CUTLERY POLKADOT PINK,14501.94,3668,358,108.75,29.0,3.0,0.007844197998377062
22752,SET 7 BABUSHKA NESTING BOXES,14453.470000000001,1790,380,952.0000000000001,124.0,5.0,0.06478578892371996
22866,HAND WARMER SCOTTY DOG DESIGN,14410.62,6632,548,209.10000000000002,111.0,5.0,0.01646151564585496
22847,BREAD BIN DINER STYLE IVORY,14329.539999999999,901,375,711.8,44.0,31.0,0.04656084656084656
48184,DOORMAT ENGLISH ROSE,14324.0,2038,407,47.7,6.0,3.0,0.0029354207436399216
23200,JUMBO BAG PEARS,14197.28,7071,595,243.63000000000002,134.0,6.0,0.01859819569743234
22507,MEMO BOARD RETROSPOT  DESIGN,14193.35,2960,459,33.95,7.0,5.0,0.0023592854735422987
22083,PAPER CHAIN KIT RETROSPOT,14159.54,4658,610,165.20000000000002,56.0,5.0,0.011879507848960543
22625,RED KITCHEN SCALES,14141.7,1627,546,198.05,24.0,18.0,0.014536644457904301
21232,STRAWBERRY CERAMIC TRINKET BOX,14130.08,10483,706,443.25,385.0,57.0,0.0354251012145749
22867,HAND WARMER BIRD DESIGN,14078.69,6441,554,111.30000000000001,53.0,6.0,0.00816137973514013
21930,JUMBO STORAGE BAG SKULLS,14031.16,6450,705,6.24,3.0,3.0,0.00046490004649000463
23343,JUMBO BAG VINTAGE CHRISTMAS,13978.95,6081,476,505.68,271.0,7.0,0.042663727959697736
22622,BOX OF VINTAGE ALPHABET BLOCKS,13931.31,1342,267,151.34999999999997,13.0,5.0,0.00959409594095941
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,13841.849999999999,55047,535,253.92,1200.0,5.0,0.021334471171795828
20971,PINK BLUE FELT CRAFT TRINKET BOX,13838.1,11001,522,2778.77,2617.0,4.0,0.1921721251285064
22941,CHRISTMAS LIGHTS 10 REINDEER,13812.92,1672,311,429.25,51.0,20.0,0.02959953569355775
AMAZONFEE,AMAZON FEE,13761.09,2,2,235281.59,32.0,32.0,0.9411764705882353
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,13746.11,1811,382,876.35,112.0,16.0,0.058242329693187725
23077,DOUGHNUT LIP GLOSS,13720.77,10415,344,75.0,60.0,3.0,0.005727923627684964
22551,PLASTERS IN TIN SPACEBOY,13615.31,8082,673,47.849999999999994,29.0,8.0,0.0035753914437184073
21524,DOORMAT SPOTTY HOME SWEET HOME,13612.41,1757,480,48.9,6.0,3.0,0.003403289846851957
23356,LOVE HOT WATER BOTTLE,13494.970000000001,2386,476,53.55,9.0,2.0,0.0037578288100208767
23207,LUNCH BAG ALPHABET DESIGN,13360.2,7851,740,659.6,448.0,13.0,0.05398240751897819
22558,CLOTHES PEGS RETROSPOT PACK 24,13346.039999999999,8689,772,66.58,42.0,11.0,0.0048104455388844345
22554,PLASTERS IN TIN WOODLAND ANIMALS,13344.769999999999,7813,704,47.849999999999994,29.0,5.0,0.0036980362152512114
23108,SET OF 10 LED DOLLY LIGHTS,13303.019999999999,2221,372,317.6,64.0,18.0,0.02800875273522976
23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,13284.49,2845,405,29.64,8.0,5.0,0.0028040658955485456
22113,GREY HEART HOT WATER BOTTLE,12805.33,3231,561,104.25,27.0,4.0,0.008287292817679558
22499,WOODEN UNION JACK BUNTING,12792.25,2091,407,23.8,4.0,2.0,0.0019093078758949881
22427,ENAMEL FLOWER JUG CREAM,12671.060000000001,2110,506,243.90000000000003,42.0,13.0,0.019516728624535316
20750,RED RETROSPOT MINI CASES,12642.93,1748,385,47.7,6.0,4.0,0.0034207525655644243
20749,ASSORTED COLOUR MINI CASES,12614.17,1770,383,63.6,8.0,6.0,0.0044994375703037125
21755,LOVE BUILDING BLOCK WORD,12572.710000000001,2034,629,23.8,4.0,2.0,0.001962708537782139
22607,WOODEN ROUNDERS GARDEN SET,12571.369999999999,1331,358,36.9,4.0,4.0,0.00299625468164794
20723,STRAWBERRY CHARLOTTE BAG,12552.4,9798,722,62.709999999999994,75.0,12.0,0.007596475235490732
21790,VINTAGE SNAP CARDS,12515.96,14528,926,72.24999999999999,85.0,3.0,0.005816738520495449
22188,BLACK HEART CARD HOLDER,12487.17,4871,189,3.95,1.0,1.0,0.00020525451559934318
22568,FELTCRAFT CUSHION OWL,12440.14,3380,470,1028.8200000000002,302.0,7.0,0.08202064095600217
22424,ENAMEL BREAD BIN CREAM,12383.83,875,454,342.6,28.0,17.0,0.031007751937984496
22149,FELTCRAFT 6 FLOWER FRIENDS,12373.880000000001,6078,547,1158.3,623.0,9.0,0.09297119832860767
23174,REGENCY SUGAR BOWL GREEN,12350.73,3057,322,345.2,88.0,17.0,0.027980922098569158
21977,PACK OF 60 PINK PAISLEY CAKE CASES,12245.02,24854,869,55.550000000000004,101.0,6.0,0.004047285113203767
48188,DOORMAT WELCOME PUPPIES,12114.97,2065,287,40.05,5.0,3.0,0.0024154589371980675
47590B,PINK HAPPY BIRTHDAY BUNTING,12071.92,2327,393,124.1,26.0,4.0,0.011049723756906077
22273,FELTCRAFT DOLL MOLLY,12016.34,4514,331,3512.6499999999996,1447.0,5.0,0.2427445059553766
22191,IVORY DINER WALL CLOCK,11971.15,1452,415,2653.7000000000003,344.0,16.0,0.1915367483296214
22158,3 HEARTS HANGING DECORATION RUSTIC,11944.880000000001,3463,303,71.75,25.0,8.0,0.007167431192660551
82486,WOOD S/3 CABINET ANT WHITE FINISH,11937.68,1408,403,585.9,70.0,21.0,0.04736129905277402
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,11928.45,3040,477,144.03,41.0,12.0,0.013307367737747485
22087,PAPER BUNTING WHITE LACE,11893.230000000001,4089,326,223.8,76.0,8.0,0.018247298919567827
22193,RED DINER WALL CLOCK,11882.57,1403,460,192.95000000000002,24.0,9.0,0.016818500350385426
23300,GARDENERS KNEELING PAD CUP OF TEA,11815.689999999999,6827,758,231.59999999999997,152.0,7.0,0.021779624588049863
22502,PICNIC BASKET WICKER SMALL,11807.12,1879,461,385.25,75.0,9.0,0.0383828045035824
21936,RED RETROSPOT PICNIC BAG,11671.09,3987,531,157.10000000000002,56.0,12.0,0.013851100667820925
23581,JUMBO BAG PAISLEY PARK,11613.03,5035,338,224.76,122.0,4.0,0.023657165018421564
22692,DOORMAT WELCOME TO OUR HOME,11555.56,1524,443,23.85,3.0,2.0,0.0019646365422396855
21217,RED RETROSPOT ROUND CAKE TINS,11532.39,1089,344,89.55,9.0,7.0,0.00819672131147541
22730,ALARM CLOCK BAKELIKE IVORY,11479.65,2892,570,195.0,52.0,13.0,0.017663043478260868
21481,FAWN BLUE HOT WATER BOTTLE,11466.37,3313,490,239.6,88.0,7.0,0.02587474272272861
22356,CHARLOTTE BAG PINK POLKADOT,11420.289999999999,9719,742,201.53,266.0,17.0,0.026639959939909866
21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",11407.56,2133,430,78.5,16.0,10.0,0.007445323406235459
22041,"RECORD FRAME 7"" SINGLE SIZE",11354.56,4374,361,93.75,38.0,4.0,0.008612873980054397
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,11338.27,978,290,298.2,28.0,7.0,0.027833001988071572
21080,SET/20 RED RETROSPOT PAPER NAPKINS,11319.36,13210,986,14.45,17.0,2.0,0.0012852498676948665
47566B,TEA TIME PARTY BUNTING,11290.12,2382,365,3692.9499999999994,1424.0,7.0,0.3741460851287441
22605,WOODEN CROQUET GARDEN SET,11276.21,782,299,97.0,8.0,7.0,0.010126582278481013
22570,FELTCRAFT CUSHION RABBIT,11227.47,3092,386,832.35,245.0,3.0,0.073419238837279
23170,REGENCY TEA PLATE ROSES,11117.05,6869,445,1046.3,718.0,12.0,0.09463556082773164
22413,METAL SIGN TAKE IT OR LEAVE IT,11104.79,3777,412,53.10000000000001,18.0,3.0,0.0047430830039525695
22662,LUNCH BAG DOLLY GIRL DESIGN,11090.58,6724,682,28.049999999999997,17.0,8.0,0.0025218810265539237
B,Adjust bad debt,11062.06,1,1,0.0,0.0,0.0,0.0
20711,JUMBO BAG TOYS,11014.62,5007,522,40.31,22.0,7.0,0.004374627162457745
85014B,RED RETROSPOT UMBRELLA,10981.95,1915,350,11.9,2.0,2.0,0.0010432968179447052
22988,SOLDIERS EGG CUP,10938.31,9137,418,132.78,112.0,8.0,0.0121094172342956
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,10910.61,1359,261,307.95,41.0,22.0,0.029285714285714286
23209,LUNCH BAG VINTAGE DOILY,10820.1,6562,601,65.80000000000001,40.0,11.0,0.006058770069675856
22617,BAKING SET SPACEBOY DESIGN,10745.050000000001,2209,464,142.15,29.0,15.0,0.012957998212689902
22846,BREAD BIN DINER STYLE RED,10676.619999999999,665,278,416.7,26.0,18.0,0.03762662807525326
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,10621.6,3265,422,86.7,30.0,4.0,0.009104704097116844
21791,VINTAGE HEADS AND TAILS CARD GAME,10535.65,7889,607,45.0,36.0,3.0,0.004542586750788643
21891,TRADITIONAL WOODEN SKIPPING ROPE,10526.0,8145,425,59.31999999999999,46.0,6.0,0.0056159199120986445
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,10518.25,16449,621,44.85,69.0,12.0,0.004177261169633128
23209,LUNCH BAG DOILEY PATTERN,10510.44,6556,492,65.80000000000001,40.0,11.0,0.006064281382656155
47590A,BLUE HAPPY BIRTHDAY BUNTING,10502.650000000001,1992,390,114.80000000000001,24.0,3.0,0.011904761904761904
23208,LUNCH BAG VINTAGE LEAF DESIGN,10498.01,6342,668,109.85,73.0,4.0,0.011379579111457521
22992,REVOLVER WOODEN RULER,10379.84,5236,348,1193.4,716.0,8.0,0.12029569892473119
22169,FAMILY ALBUM WHITE PICTURE FRAME,10354.26,1198,372,257.55,32.0,17.0,0.026016260162601626
21914,BLUE HARMONICA IN BOX,10343.56,7879,603,45.0,36.0,2.0,0.004548325963360708
84997B,CHILDRENS CUTLERY RETROSPOT RED,10316.86,2634,262,127.5,34.0,3.0,0.012743628185907047
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,10297.27,8706,347,38.29,32.0,10.0,0.0036621652552071412
23582,VINTAGE DOILY JUMBO BAG RED,10233.45,4815,259,222.68,121.0,3.0,0.024513776337115073
22970,LONDON BUS COFFEE MUG,10224.75,4367,317,33.6,16.0,3.0,0.003650467716176135
82600,NO SINGING METAL SIGN,10195.86,4789,496,73.30000000000001,38.0,4.0,0.007872384503832609
84997C,CHILDRENS CUTLERY POLKADOT BLUE,10154.91,2583,233,22.9,6.0,2.0,0.002317497103128621
22569,FELTCRAFT CUSHION BUTTERFLY,10133.33,2765,348,658.38,194.0,3.0,0.06556269009800608
21218,RED SPOTTY BISCUIT TIN,10116.49,2433,394,165.25,49.0,11.0,0.01974214343271555
22556,PLASTERS IN TIN CIRCUS PARADE,10070.109999999999,6118,571,108.89999999999999,66.0,10.0,0.010672703751617076
22633,HAND WARMER UNION JACK,10057.320000000002,4867,479,54.6,26.0,7.0,0.005313713468219906
22621,TRADITIONAL KNITTING NANCY,10056.949999999999,6150,609,64.75,51.0,4.0,0.00822447992259313
23171,REGENCY TEA PLATE GREEN,10051.99,6247,381,146.25,97.0,5.0,0.015290037831021437
48173C,DOORMAT BLACK FLOCK,10025.11,1802,188,40.95,5.0,3.0,0.002767017155506364
20679,EDWARDIAN PARASOL RED,10021.42,1710,326,53.550000000000004,9.0,3.0,0.005235602094240838
23076,ICE CREAM SUNDAE LIP GLOSS,9965.76,8100,277,35.0,28.0,2.0,0.0034448818897637795
22791,T-LIGHT GLASS FLUTED ANTIQUE,9963.880000000001,8027,345,192.75,177.0,10.0,0.021574841540711848
22690,DOORMAT HOME SWEET HOME BLUE,9959.6,1621,285,48.3,6.0,4.0,0.0036877688998156115
22619,SET OF 6 SOLDIER SKITTLES,9921.29,2487,443,15.0,4.0,1.0,0.0016057808109193096
22654,DELUXE SEWING KIT,9898.95,1412,328,193.35000000000002,33.0,14.0,0.022837370242214532
22555,PLASTERS IN TIN STRONGMAN,9863.279999999999,6023,515,34.64999999999999,21.0,4.0,0.003474520185307743
22766,PHOTO FRAME CORNICE,9843.59,3297,504,156.35000000000002,53.0,16.0,0.01582089552238806
21314,SMALL GLASS HEART TRINKET POT,9811.58,4252,541,270.15000000000003,139.0,40.0,0.03165565930312002
22838,3 TIER CAKE TIN RED AND CREAM,9765.11,689,168,1671.6,128.0,14.0,0.15667074663402691
23240,SET OF 4 KNICK KNACK TINS DOILY,9759.68,2360,353,206.70000000000002,50.0,17.0,0.02074688796680498
22561,WOODEN SCHOOL COLOURING SET,9749.82,5888,433,405.0,276.0,3.0,0.04477611940298507
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,9748.13,3938,573,35.25,14.0,10.0,0.00354251012145749
22776,SWEETHEART CAKESTAND 3 TIER,9697.25,959,377,863.0,93.0,40.0,0.08840304182509506
22844,VINTAGE CREAM DOG FOOD CONTAINER,9686.82,1006,416,227.8,28.0,8.0,0.027079303675048357
